word	file	lines
Acharya	model_org_Drosophila.md	3
Acharya	model_org_intro.md	81
agariplaadil	model_org_intro.md	97
arabidopsis	assignment_model_org_intro_Drosophila.md	2
arabidopsis	index.md	22,22
arabidopsis	model_org_intro.md	3
Audiographer	About.md	34
Audiographer	About.md	34
Audiographer	About.md	34
Audiography	About.md	35
Audiography	About.md	35
Audiography	About.md	35
automagic	README.md	24
Bookdown	02-chapter_of_course.md	196,196
Bookdown	02-chapter_of_course.md	196,196
Bookdown	README.md	21
chapt	1-Pre-lab	-Model-Organisms.md
chapt	2-Lab-Lecture.md	3
chapt	3-Exercises	-Biological-Databases.md
chapt	4-Project	-Research-a-Gene.md
chapt	5-Model-Organisms.md	3
chapt	5.1-Introduction-to-Model-Organisms.md	3
chapt	5.2-Drosophila-melanogaster-(fruit-fly).md	3
chapt	5.3-Wanted	-Additional-Organisms.md
chapt	6-Biological-Databases.md	3
chapt	6.1-Introduction-to-Biological-Databases.md	3
chapt	6.2-FlyBase.md	3
chapt	6.3-Human-Protein-Atlas.md	3
chapt	6.4-Wanted	-Additional-Databases.md
chapt	About-the-Authors.md	3
chapt	About.md	3
chapt	Instructor-Guide.md	3
chapt	References.md	3
Coursera	README.md	22
creativecommons	LICENSE.md	378,395
css	02-chapter_of_course.md	190
css	02-chapter_of_course.md	190
cubocube	assignment_model_org_intro_Drosophila.md	2
cubocube	index.md	22,22
cubocube	model_org_intro.md	3
DISCOVERABLE	LICENSE.md	286
dmel	database_FlyBase.md	163
Dropdown	02-chapter_of_course.md	274
Dropdown	02-chapter_of_course.md	174
Dropdown	02-chapter_of_course.md	274
Ecoli	model_org_intro.md	113
enforceability	LICENSE.md	359
ENSG	database_HPA.md	39,48,58,68
ENSG	database_intro.md	67
faq	code_of_conduct.md	123
FBhh	database_FlyBase.md	163
FBhh	model_org_Drosophila.md	94
FirstName	About.md	12,101
FirstName	About.md	12,111
FirstName	About.md	12,115
Funder	About.md	37
Funder	About.md	37
Funder	About.md	37
fyi	02-chapter_of_course.md	167
Generis	LICENSE.md	85,123,262,264,271
Github	README.md	23
hbs	database_intro.md	77
hdm	database_FlyBase.md	131
hpa	6.3-Human-Protein-Atlas.md	3
http	assignment_model_org_intro_Drosophila.md	2
http	index.md	22,22
http	model_org_intro.md	3
ies	LICENSE.md	112
iframe	1-Pre-lab	-Model-Organisms.md
iframe	2-Lab-Lecture.md	3
iframe	3-Exercises	-Biological-Databases.md
iframe	4-Project	-Research-a-Gene.md
iframe	5-Model-Organisms.md	3
iframe	5.1-Introduction-to-Model-Organisms.md	3
iframe	5.2-Drosophila-melanogaster-(fruit-fly).md	3
iframe	5.3-Wanted	-Additional-Organisms.md
iframe	6-Biological-Databases.md	3
iframe	6.1-Introduction-to-Biological-Databases.md	3
iframe	6.2-FlyBase.md	3
iframe	6.3-Human-Protein-Atlas.md	3
iframe	6.4-Wanted	-Additional-Databases.md
iframe	About-the-Authors.md	3
iframe	About.md	3
iframe	Instructor-Guide.md	3
iframe	References.md	3
Ilmari	model_org_intro.md	65
immunities	LICENSE.md	370
jpg	model_org_Drosophila.md	3
jpg	model_org_intro.md	65,81
JPG	model_org_intro.md	97
Karonen	model_org_intro.md	65
Laboratoorne	model_org_intro.md	97
LastName	About.md	12,101
LastName	About.md	12,111
LastName	About.md	12,115
Leanpub	README.md	20
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
Madprime	model_org_intro.md	113
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.md	28,101
Muschelli	About.md	28,111
Muschelli	About.md	28,115
ncbi	database_intro.md	38
nih	database_intro.md	38
nlm	database_intro.md	38
omim	database_intro.md	57
OTTR	README.md	15,17,27
ottrpal	About.md	28
ottrpal	About.md	28
ottrpal	About.md	28
ottrproject	README.md	15
pagarip	model_org_intro.md	97
Pandoc	02-chapter_of_course.md	192,196
Pandoc	02-chapter_of_course.md	192,196
php	assignment_model_org_intro_Drosophila.md	2
php	index.md	22,22
php	model_org_intro.md	3
png	model_org_intro.md	113
png	1-Pre-lab	-Model-Organisms.md
png	2-Lab-Lecture.md	3
png	3-Exercises	-Biological-Databases.md
png	4-Project	-Research-a-Gene.md
png	5-Model-Organisms.md	3
png	5.1-Introduction-to-Model-Organisms.md	3
png	5.2-Drosophila-melanogaster-(fruit-fly).md	3
png	5.3-Wanted	-Additional-Organisms.md
png	6-Biological-Databases.md	3
png	6.1-Introduction-to-Biological-Databases.md	3
png	6.2-FlyBase.md	3
png	6.3-Human-Protein-Atlas.md	3
png	6.4-Wanted	-Additional-Databases.md
png	About-the-Authors.md	3
png	About.md	3
png	Instructor-Guide.md	3
png	References.md	3
proteinatlas	database_HPA.md	13,39,48,58,68
proteinatlas	database_intro.md	67
QuickSearch	database_FlyBase.md	143
Rainis	model_org_intro.md	97
rcsb	database_intro.md	77
reproducibility	02-chapter_of_course.md	282
reproducibility	02-chapter_of_course.md	182
reproducibility	02-chapter_of_course.md	282
rmarkdown	02-chapter_of_course.md	206
rmarkdown	02-chapter_of_course.md	206
RMarkdown	README.md	19
Sanjay	model_org_Drosophila.md	3
Sanjay	model_org_intro.md	81
Savonen	About.md	25,26,27,28,101
Savonen	About.md	25,26,27,28,111
Savonen	About.md	25,26,27,28,115
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
transmembrane	database_intro.md	57,67,77
Venta	model_org_intro.md	97
Videographer	About.md	32
Videographer	About.md	32
Videographer	About.md	32
Videography	About.md	33
Videography	About.md	33
Videography	About.md	33
Westby	assignment_model_org_intro_Drosophila.md	2
Westby	index.md	22,22
Westby	model_org_intro.md	3
wikimedia	model_org_Drosophila.md	3
wikimedia	model_org_intro.md	65,81,113
wikipedia	model_org_intro.md	97
WIPO	LICENSE.md	93
zebrafish	assignment_model_org_intro_Drosophila.md	2
zebrafish	index.md	22,22
zebrafish	model_org_intro.md	3
